"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 21 17:17:39 GMT 2022","Wed Dec 21 17:17:39 GMT 2022","0","tests","test_combine","","","","test_cant_create_issue_not_auth_user",""
"broken","Wed Dec 21 17:17:43 GMT 2022","Wed Dec 21 17:17:44 GMT 2022","841","tests","test_steps","","","","test_decorator_steps",""
"broken","Wed Dec 21 17:17:41 GMT 2022","Wed Dec 21 17:17:42 GMT 2022","870","tests","test_selene","","","","test_github",""
"broken","Wed Dec 21 17:17:42 GMT 2022","Wed Dec 21 17:17:43 GMT 2022","837","tests","test_steps","","","","test_dynamic_steps",""
"passed","Wed Dec 21 17:17:39 GMT 2022","Wed Dec 21 17:17:39 GMT 2022","0","tests","test_combine","","","","test_create_issue_auth_user",""
"broken","Wed Dec 21 17:17:39 GMT 2022","Wed Dec 21 17:17:41 GMT 2022","1771","tests","test_combine","","","","test_search_issue_positive",""
"passed","Wed Dec 21 17:17:41 GMT 2022","Wed Dec 21 17:17:41 GMT 2022","0","tests","test_lables","","","","test_decorator_labels",""
"passed","Wed Dec 21 17:17:41 GMT 2022","Wed Dec 21 17:17:41 GMT 2022","0","tests","test_lables","","","","test_no_labels",""
"passed","Wed Dec 21 17:17:41 GMT 2022","Wed Dec 21 17:17:41 GMT 2022","0","tests","test_lables","","","","test_dynamic_labels",""
"passed","Wed Dec 21 17:17:39 GMT 2022","Wed Dec 21 17:17:39 GMT 2022","1","tests","test_attachments","","","","test_attachments",""
